"FIPS.Code","County","Year","Program.Type","Population"
36123,"Yates",2014,"Postcensal Population Estimate",25149
36000,"New",2013,"Postcensal Population Estimate",19624447
36001,"Albany",2013,"Postcensal Population Estimate",306589
36003,"Allegany",2013,"Postcensal Population Estimate",47900
36005,"Bronx",2013,"Postcensal Population Estimate",1421928
36007,"Broome",2013,"Postcensal Population Estimate",197914
36009,"Cattaraugus",2013,"Postcensal Population Estimate",78996
36011,"Cayuga",2013,"Postcensal Population Estimate",79088
36013,"Chautauqua",2013,"Postcensal Population Estimate",132852
36015,"Chemung",2013,"Postcensal Population Estimate",88199
36017,"Chenango",2013,"Postcensal Population Estimate",49477
36019,"Clinton",2013,"Postcensal Population Estimate",81523
36021,"Columbia",2013,"Postcensal Population Estimate",62170
36023,"Cortland",2013,"Postcensal Population Estimate",48905
36025,"Delaware",2013,"Postcensal Population Estimate",46803
36027,"Dutchess",2013,"Postcensal Population Estimate",296268
36029,"Erie",2013,"Postcensal Population Estimate",920869
36031,"Essex",2013,"Postcensal Population Estimate",38601
36033,"Franklin",2013,"Postcensal Population Estimate",51212
36035,"Fulton",2013,"Postcensal Population Estimate",54345
36037,"Genesee",2013,"Postcensal Population Estimate",59112
36039,"Greene",2013,"Postcensal Population Estimate",48308
36041,"Hamilton",2013,"Postcensal Population Estimate",4766
36043,"Herkimer",2013,"Postcensal Population Estimate",63883
36045,"Jefferson",2013,"Postcensal Population Estimate",118490
36047,"Kings",2013,"Postcensal Population Estimate",2587684
36049,"Lewis",2013,"Postcensal Population Estimate",27098
36051,"Livingston",2013,"Postcensal Population Estimate",64627
36053,"Madison",2013,"Postcensal Population Estimate",72457
36055,"Monroe",2013,"Postcensal Population Estimate",748290
36057,"Montgomery",2013,"Postcensal Population Estimate",49743
36059,"Nassau",2013,"Postcensal Population Estimate",1352193
36061,"New",2013,"Postcensal Population Estimate",1627491
36063,"Niagara",2013,"Postcensal Population Estimate",214105
36065,"Oneida",2013,"Postcensal Population Estimate",233347
36067,"Onondaga",2013,"Postcensal Population Estimate",468146
36069,"Ontario",2013,"Postcensal Population Estimate",109044
36071,"Orange",2013,"Postcensal Population Estimate",374320
36073,"Orleans",2013,"Postcensal Population Estimate",42229
36075,"Oswego",2013,"Postcensal Population Estimate",121170
36077,"Otsego",2013,"Postcensal Population Estimate",61614
36079,"Putnam",2013,"Postcensal Population Estimate",99572
36081,"Queens",2013,"Postcensal Population Estimate",2287185
36083,"Rensselaer",2013,"Postcensal Population Estimate",159545
36085,"Richmond",2013,"Postcensal Population Estimate",471803
36087,"Rockland",2013,"Postcensal Population Estimate",319284
36089,"St.",2013,"Postcensal Population Estimate",111931
36091,"Saratoga",2013,"Postcensal Population Estimate",224087
36093,"Schenectady",2013,"Postcensal Population Estimate",154944
36095,"Schoharie",2013,"Postcensal Population Estimate",31900
36097,"Schuyler",2013,"Postcensal Population Estimate",18382
36099,"Seneca",2013,"Postcensal Population Estimate",35250
36101,"Steuben",2013,"Postcensal Population Estimate",98843
36103,"Suffolk",2013,"Postcensal Population Estimate",1497346
36105,"Sullivan",2013,"Postcensal Population Estimate",76945
36107,"Tioga",2013,"Postcensal Population Estimate",50103
36109,"Tompkins",2013,"Postcensal Population Estimate",103553
36111,"Ulster",2013,"Postcensal Population Estimate",180698
36113,"Warren",2013,"Postcensal Population Estimate",65083
36115,"Washington",2013,"Postcensal Population Estimate",62765
36117,"Wayne",2013,"Postcensal Population Estimate",92339
36119,"Westchester",2013,"Postcensal Population Estimate",964567
36121,"Wyoming",2013,"Postcensal Population Estimate",41359
36123,"Yates",2013,"Postcensal Population Estimate",25207
36000,"New",2012,"Postcensal Population Estimate",19572932
36001,"Albany",2012,"Postcensal Population Estimate",305723
36003,"Allegany",2012,"Postcensal Population Estimate",48210
36005,"Bronx",2012,"Postcensal Population Estimate",1411496
36007,"Broome",2012,"Postcensal Population Estimate",198667
36009,"Cattaraugus",2012,"Postcensal Population Estimate",79348
36011,"Cayuga",2012,"Postcensal Population Estimate",79505
36013,"Chautauqua",2012,"Postcensal Population Estimate",133304
36015,"Chemung",2012,"Postcensal Population Estimate",89137
36017,"Chenango",2012,"Postcensal Population Estimate",49883
36019,"Clinton",2012,"Postcensal Population Estimate",81714
36021,"Columbia",2012,"Postcensal Population Estimate",62449
36023,"Cortland",2012,"Postcensal Population Estimate",49023
36025,"Delaware",2012,"Postcensal Population Estimate",47215
36027,"Dutchess",2012,"Postcensal Population Estimate",297023
36029,"Erie",2012,"Postcensal Population Estimate",919906
36031,"Essex",2012,"Postcensal Population Estimate",38875
36033,"Franklin",2012,"Postcensal Population Estimate",51791
36035,"Fulton",2012,"Postcensal Population Estimate",54845
36037,"Genesee",2012,"Postcensal Population Estimate",59672
36039,"Greene",2012,"Postcensal Population Estimate",48587
36041,"Hamilton",2012,"Postcensal Population Estimate",4803
36043,"Herkimer",2012,"Postcensal Population Estimate",64227
36045,"Jefferson",2012,"Postcensal Population Estimate",120235
36047,"Kings",2012,"Postcensal Population Estimate",2568450
36049,"Lewis",2012,"Postcensal Population Estimate",27196
36051,"Livingston",2012,"Postcensal Population Estimate",64796
36053,"Madison",2012,"Postcensal Population Estimate",72414
36055,"Monroe",2012,"Postcensal Population Estimate",747344
36057,"Montgomery",2012,"Postcensal Population Estimate",49829
36059,"Nassau",2012,"Postcensal Population Estimate",1349616
36061,"New",2012,"Postcensal Population Estimate",1623911
36063,"Niagara",2012,"Postcensal Population Estimate",214713
36065,"Oneida",2012,"Postcensal Population Estimate",233765
36067,"Onondaga",2012,"Postcensal Population Estimate",467030
36069,"Ontario",2012,"Postcensal Population Estimate",108611
36071,"Orange",2012,"Postcensal Population Estimate",373699
36073,"Orleans",2012,"Postcensal Population Estimate",42391
36075,"Oswego",2012,"Postcensal Population Estimate",121458
36077,"Otsego",2012,"Postcensal Population Estimate",61747
36079,"Putnam",2012,"Postcensal Population Estimate",99625
36081,"Queens",2012,"Postcensal Population Estimate",2272222
36083,"Rensselaer",2012,"Postcensal Population Estimate",159437
36085,"Richmond",2012,"Postcensal Population Estimate",470614
36087,"Rockland",2012,"Postcensal Population Estimate",317196
36089,"St.",2012,"Postcensal Population Estimate",112355
36091,"Saratoga",2012,"Postcensal Population Estimate",222483
36093,"Schenectady",2012,"Postcensal Population Estimate",155016
36095,"Schoharie",2012,"Postcensal Population Estimate",32039
